stage,tolerance_quantile,distance_threshold,population_size,proposal_attempts,simulator_calls,acceptance_rate,ess,kernel_sd_beta,kernel_sd_gamma,kernel_sd_rho
1,0.1,0.7233779557655079,300,3050,3050,0.09836065573770492,300.0,0.13056469724237388,0.028893786425365206,0.24370634504258054
2,0.05,0.5768169811855529,300,2769,1937,0.10834236186348863,286.3934549254144,0.11416201695158182,0.02309909342759009,0.2117344520725335
3,0.02,0.4506931408349476,300,4395,3499,0.06825938566552901,284.3089896239594,0.1038751701222518,0.016698074445999515,0.17550170299519696
4,0.01,0.38539378985712675,300,4718,4129,0.0635862653666808,281.1068557100484,0.09301541847345368,0.015983683063230333,0.15606394760206882
