stage,tolerance_quantile,distance_threshold,population_size,proposal_attempts,simulator_calls,acceptance_rate,ess,kernel_sd_beta,kernel_sd_gamma,kernel_sd_rho
1,0.1,0.9878332014670179,300,2727,2727,0.11001100110011001,300.0,0.11311288344330543,0.035929579308082375,0.2528649680074147
2,0.05,0.8065623232394394,300,3090,2135,0.0970873786407767,289.4288341328246,0.09273925609673915,0.026919624983594372,0.22958328248242746
3,0.02,0.620089918731823,300,3742,2853,0.08017103153393906,287.06981523277045,0.0676034070056682,0.021131523280258104,0.1796740698482982
4,0.01,0.5127193806235224,300,4095,3653,0.07326007326007326,283.0977045272201,0.05164626434431079,0.019330157475012107,0.15034019273747115
