beta,gamma,rho,weight
0.13408334811053768,0.09046098840114364,0.272246040419993,0.002953474138547526
0.20872727106288516,0.08964720610489459,0.39409076511075425,0.0026618909065401737
0.17373052839290629,0.07191367737274285,0.46295655344585956,0.004559337999136221
0.16970364839245886,0.09308401229848873,0.3285865567579921,0.002544255584737432
0.15408582357872813,0.07919802589217889,0.2918616006833818,0.0025196492310187927
0.16213354452820294,0.06698921805804851,0.384993008582941,0.003539766272880994
0.10570958275917679,0.11244874083893004,0.08740758541210053,0.0048987986303843595
0.17425119010606036,0.0888785292552215,0.37036459189183446,0.0027161396496355483
0.11263821732728424,0.0861848866467428,0.2617627393971271,0.003949580526391083
0.16305414939677623,0.0750379566183979,0.3127540990510015,0.0025631557751773547
0.1141214980337007,0.10254012857713937,0.1754265856068331,0.0035702342790610558
0.20577633551876612,0.09095812888472926,0.3547286025352231,0.002582104887504621
0.1215162908891554,0.08527356267133515,0.1835251368673806,0.0028663945833567986
0.12564054178433637,0.08440786955555493,0.19619056943541519,0.0027796923074562205
0.1312064658756925,0.09285304791373264,0.1645503858133369,0.0027982740005823192
0.18473780776682264,0.06581943786931771,0.2958087676581469,0.003145875187781282
0.1105614412392004,0.07459871860657476,0.24953140864218937,0.003966626319170737
0.18231624320272466,0.08684585037521654,0.24996654901928614,0.0026103788757061777
0.1414686532983463,0.077515495737899,0.22353980326150286,0.002637147642759944
0.16184367475682848,0.10853866411301986,0.20343460714839495,0.0031630683495145234
0.11597561022262569,0.06811599600829908,0.32026463901950775,0.005474648521190607
0.1996917477459223,0.09447013646159433,0.41283347032463946,0.0029289492127490017
0.12996004282954876,0.08000198341213079,0.28562894388658444,0.003191535504567244
0.19557510252346766,0.07533727283828694,0.4359686290226398,0.0030446998412912226
0.2421771857830532,0.07763175815272025,0.4205703951654245,0.0035736855089460737
0.13380598727067597,0.0766012716615061,0.24839262815820376,0.0028169575125122693
0.15515892318787616,0.0806101202790136,0.30930203099855824,0.002568709587607599
0.15964814977928307,0.0847797270384719,0.3396005462385141,0.002697934993186087
0.12950373225131181,0.08691739566630871,0.19131775334720086,0.0027028039762964063
0.25527006497213567,0.08437519365768305,0.5078538701958517,0.004087302707119089
0.16917132688460904,0.10025540270217628,0.3514493401582103,0.0030591566531819997
0.19885665863691096,0.10168559209896977,0.27702642721678783,0.0030059723674905796
0.17650327579050887,0.07580231637550419,0.19490530194734007,0.0035596983772430593
0.1539303917839841,0.07431801382882025,0.391423312202672,0.003804412225689531
0.1735834778657714,0.10027923418060378,0.19794017246647058,0.003055134874883522
0.1793077439539916,0.10280653246350341,0.32955698100131414,0.0028185932397822105
0.20394155862945018,0.0969821048204876,0.33573993832434296,0.0026931315195221476
0.19624884684487917,0.10352366381120054,0.3279285114332483,0.002853288196040504
0.17581995918018944,0.08658773553109061,0.33109275105197333,0.0023970279353084985
0.16000931208221275,0.07978192946421725,0.3586376498779342,0.0028911487337978754
0.17752405679349878,0.07266225760847637,0.37710806461372187,0.002800960735210647
0.1368425715216507,0.09665673686054203,0.1954080178581076,0.002727096476667101
0.26185014322149597,0.06267364351901836,0.44574649705794317,0.006238523383392965
0.19747463188325823,0.08202743869481606,0.37022389924306437,0.0025004318443527583
0.20216676730251296,0.07744569479839636,0.3148567407549602,0.0027941538854736095
0.13418166711249918,0.0852693991396978,0.22576218027836256,0.0026321008515665825
0.22693722022260268,0.08898670030651504,0.5053143371635959,0.0038309939656546977
0.11393832417581413,0.09132930481633296,0.20048881719731657,0.003225824740385147
0.14286684051284712,0.080665481442327,0.31492324251290027,0.0029739763745112125
0.17336629115775945,0.062285827341410305,0.34004878490103435,0.0032158099806256406
0.1466672813978591,0.068535498746307,0.2725588098316952,0.002938076652137802
0.1873534296573837,0.06658521235689538,0.27577006942362614,0.0033548889162519544
0.14109280436250793,0.10640113519494442,0.26327213424690465,0.0034028275901322753
0.15600272281997143,0.08943828149821714,0.15506679322717964,0.0030731504906020123
0.16683238123028116,0.07699377471541448,0.28735808749958347,0.0024559290364895127
0.13381540913227824,0.08623306919821029,0.20198472053465732,0.0026275381778130846
0.13414649989352043,0.08179883800540418,0.20946872546818202,0.002651411312177514
0.16186599773959776,0.06428306537505926,0.2658224221329062,0.003145717352833477
0.10479185432741839,0.0911485857740264,0.15498530276813838,0.003419399331890025
0.11951323381974094,0.061240889239093,0.2635096353524203,0.004474081328473843
0.16047336053606023,0.09916931936455699,0.12851245655193227,0.003804196893187512
0.14554521058517256,0.06277014004942864,0.353055521081491,0.004100973461951584
0.18220961074304592,0.0932970197705632,0.31205997385541234,0.0024186069022411123
0.17792614288702813,0.09626669591660482,0.25496300123722065,0.0025576165987907817
0.11616897379729522,0.10788601959442944,0.23606669463563112,0.004676182712277512
0.10933681796507046,0.10093360183005146,0.14810868526323062,0.003589501469678103
0.19531858378504957,0.09570312431735706,0.28049588745644016,0.00271906640671228
0.1206563317352814,0.08505463240443074,0.15355065553774871,0.0029514472656984704
0.12599028522769806,0.09408655187646489,0.21562255881356224,0.0029249882942946124
0.13265513052490438,0.08763178901272156,0.27713387598159533,0.003005784052117033
0.1738182383315571,0.06079336714119761,0.44261141899840883,0.004624551087460837
0.19879916710480006,0.10231091217533406,0.34065102835971406,0.0028311740895625545
0.15595550521049387,0.09421980307436799,0.26848648553860377,0.002485462587166556
0.17936294191742855,0.0905657920795749,0.18404189303701549,0.0033887206079157794
0.13803356207443582,0.09387872247256841,0.16064086049774667,0.00280653718083422
0.21289588404869153,0.06661083033504486,0.3542010238796091,0.003452915287428479
0.14955807903998267,0.07827397889530763,0.3617798115827168,0.0033813344306066846
0.13204894849814552,0.05915863878096628,0.2648184638605301,0.004072284306335559
0.12793278418803344,0.08268058905185088,0.13413454568597938,0.0030823033196055102
0.18338716949648828,0.06435547416104373,0.4164547574792744,0.003485295855876459
0.12153202847470587,0.0871897899112611,0.18780570335887223,0.002866770552437137
0.1443538003671027,0.07712725591715618,0.22680615431300077,0.002618691498737081
0.13184500737235738,0.10075659516248862,0.26686747802028427,0.003446396201727067
0.15318010366444243,0.05677452290409383,0.3063536248712345,0.003926868111922632
0.10578835156316224,0.08772276637737415,0.044189150751840114,0.004385330148044947
0.13118916915449944,0.10491306322024017,0.1569402421527122,0.0032438641882654006
0.10832473544448962,0.09609823856768489,0.2260967935644968,0.004048890898261963
0.1889222287413902,0.10576716180893621,0.3511352179187528,0.0030680884416227077
0.1828048982534527,0.06868272075171009,0.2648745703521996,0.003171121192642338
0.18734954702157336,0.09164946359135415,0.44498886242948676,0.003616354787051901
0.18602560940721058,0.07659965064273377,0.46764388427838766,0.0038907342459058958
0.15299837228813157,0.10254722689862478,0.2751626351510206,0.002879261993241886
0.12811465617227139,0.11325527145891458,0.23096577662954615,0.004399038329983644
0.22652052651889673,0.07847237862699213,0.4523167502314942,0.0031074080299157967
0.18865300198191154,0.07188736953481514,0.27770783025503576,0.002990384506005645
0.15642913700669392,0.08943036718963775,0.3248415931496521,0.0027039148500942758
0.24168372933912338,0.08043629775304004,0.48613604067594973,0.0035590858183599874
0.2545400937945178,0.08188425008415262,0.4562736841223109,0.003924091764501704
0.19484602588954292,0.06961237191095929,0.3309759733740393,0.0028839895006042104
0.18295402323554147,0.06978356605663866,0.3091477306592533,0.002777887072801569
0.16583264027182668,0.0743746357556165,0.21458768479550117,0.002957932384667112
0.15924268053477109,0.0722680638491042,0.3713088701165187,0.0032203673974781355
0.16970618561333062,0.09172561914981366,0.35949899913758215,0.0027722022696219503
0.2125242407235577,0.057165429505160244,0.5073301853180017,0.005123175965636167
0.1899160984318294,0.08133405194372526,0.38284302688738514,0.0025604579874729167
0.2126107877483825,0.06599917190621368,0.44580246713719834,0.0034272477374744487
0.21284169408410594,0.06989362241499066,0.44020980898930623,0.0031746505220950766
0.19145681409758722,0.07172123588804037,0.4320318444189902,0.0031584074881677603
0.18442617174189158,0.07449576034296726,0.3762982007355229,0.0026664040071545966
0.16438677432443152,0.06929744969723052,0.3409931216103483,0.0028860805186001564
0.17560987493786345,0.10252435156520535,0.33122672190215857,0.0028561204553553894
0.220945803250323,0.09056212916070489,0.36829534360660754,0.0028681474997321343
0.13864249510621585,0.07608720510655333,0.18775416341610557,0.0028421964822682726
0.18547097598556622,0.07008884750463087,0.36898261880119626,0.002778973653191779
0.15777711069153857,0.0837658908557003,0.20870586146326986,0.002579023006635802
0.15998396102584597,0.09655121030848433,0.35397329280789896,0.0032009665431445805
0.13817702998113998,0.09142265220941262,0.18146399369366226,0.0026597877686567514
0.19610590875865205,0.08985370539962828,0.36848140757208114,0.0025152950094468646
0.1716514053407605,0.07883225085563281,0.3635052240341703,0.0026595934178075724
0.16323659420153647,0.0709066793957144,0.2597483379021873,0.0027441757650420277
0.1406938368315706,0.08685051252996272,0.15958525067053586,0.0028069122460787094
0.14930640345867371,0.07941727470621593,0.2680003331700038,0.0025156977504060853
0.14098641807206613,0.08608922642233525,0.2663030822452333,0.002628438000337274
0.15909974592276405,0.08455886743846468,0.1957185956592512,0.0026924827764792368
0.19167543343559823,0.11439141792678263,0.27867933016648594,0.0036457098676322183
0.17518555443727069,0.1036843553544232,0.38464160266386704,0.0036371016356288753
0.14171332260722747,0.09232814533276132,0.23118176504941565,0.002565852014699447
0.18523239397428964,0.07690596593373168,0.23882699650520203,0.0030865518768403376
0.1217581529171257,0.08005088110858088,0.09239208991170839,0.0037423338231722864
0.1303846113341614,0.0857612955240647,0.25907740740007157,0.0029031259963131053
0.20738046071212873,0.07292758167162555,0.30721488476692616,0.003269624971905897
0.199068325034312,0.08747265745042797,0.3464446859763027,0.002474593016222357
0.1545886331649224,0.0756615495317261,0.37301160828433333,0.0033644600647196846
0.245123457038661,0.08033666195079481,0.33396150920920986,0.005092434974907793
0.15070248528451133,0.10888187058070803,0.15764465932347504,0.003475312120624064
