beta,gamma,rho,sim_peak,sim_rewire,sim_mean_deg,distance
0.1567920212624208,0.1420601591585765,0.2997155425995692,0.58,540.0,10.0,0.30423098794597947
0.21395834599916358,0.09277618081046095,0.36145782674602905,0.69,498.0,10.06,0.23306172953235402
0.37231158907368694,0.17000591694242947,0.6308153263122689,0.63,604.0,10.06,0.2437657059172388
0.342038744031297,0.12650969451547212,0.5466639991500373,0.67,610.0,10.01,0.1946476137896246
0.4145398074392401,0.1251899375041673,0.5228205274603477,0.71,456.0,10.03,0.3308783812214172
0.22575064156017605,0.11614707347609848,0.30144155865201805,0.685,474.0,9.95,0.31991851920300934
0.32156799083862525,0.15518282746748865,0.5091678988934761,0.595,529.0,9.99,0.26076551602729725
0.2703794918038947,0.12249958890398373,0.41312683514777276,0.64,489.0,9.98,0.21324726231126848
0.12875879708925897,0.07336727327234382,0.2576693806365213,0.685,514.0,9.98,0.18612838257559627
0.45259353716531736,0.1820797383485976,0.6220204469283588,0.605,620.0,10.0,0.3005487309042786
0.3497426330547196,0.12984314275422854,0.5256894664824389,0.67,570.0,10.12,0.3484973931862487
0.47893752315134164,0.16015074235565607,0.6333469403517079,0.61,481.0,10.02,0.2597040965902447
0.45911006810376837,0.10641066011120014,0.6123575865038208,0.715,532.0,9.96,0.2948997227975518
0.45558930266344766,0.15615632741966884,0.5358926535165606,0.61,502.0,9.96,0.28990326697938623
0.4282512435928249,0.1059291584373281,0.535334530271954,0.715,521.0,10.03,0.23827064230875966
0.3860786481394739,0.15188010086080767,0.5197439810949236,0.72,506.0,10.01,0.26925544640368326
0.45307624843895755,0.15319373483798002,0.6135968972960654,0.61,569.0,10.08,0.28363651020247094
0.44596055866728485,0.13206100843785376,0.623422583775799,0.64,542.0,9.95,0.23075339340146958
0.2594923546953102,0.13583890151841166,0.43291133112382874,0.595,516.0,10.04,0.2654251772539402
0.30161603348494126,0.09755085484278658,0.47223160262269204,0.695,539.0,10.1,0.30927501996385887
0.31807968701669365,0.16155338998518648,0.4573546108342136,0.6,526.0,10.06,0.26766072068430985
0.22698515415469184,0.11365926479601002,0.36611537609758593,0.66,536.0,9.96,0.19016350158920728
0.3809539094763168,0.15047944360726412,0.6231387727515496,0.625,591.0,10.08,0.2744808942659449
0.4458030764691882,0.13099072796664069,0.4905243657623537,0.665,461.0,10.01,0.24526393935055363
0.3533573479197607,0.10815886202963147,0.4502241527751396,0.675,464.0,10.02,0.24376137399296036
0.15623020454387967,0.10030826255646921,0.2955591104534296,0.61,549.0,9.95,0.2866515110843519
0.4640161566010873,0.15686145826988274,0.5180533402843349,0.63,481.0,9.97,0.2630385750672256
0.21228402903322657,0.0897740610844974,0.3620500073668589,0.7,556.0,10.1,0.3199416050185841
0.3520299980919199,0.12573696836551407,0.5125357023318479,0.73,545.0,10.07,0.3310327297243873
0.41948221852968537,0.1609519756597577,0.5027791465646311,0.63,464.0,9.97,0.2994173107188891
